Matrix Multiplication,Vector Transformation
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
7.90122e-07,0
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
5.1358e-06,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
7.90122e-07,0
7.90122e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,0
0,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
1.18518e-06,3.95061e-07
1.18518e-06,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
7.90122e-07,3.95061e-07
7.90122e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
7.90122e-07,3.95061e-07
1.18518e-06,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,0
3.95061e-07,7.90122e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
1.58024e-06,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
7.90122e-07,0
3.95061e-07,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
2.37037e-06,3.95061e-07
0,0
0,1.58025e-05
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
0,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,0
7.90122e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
0,0
3.95061e-07,0
0,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,0
0,0
7.90122e-07,0
3.95061e-07,0
0,0
0,0
3.95061e-07,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
7.90122e-07,0
3.95061e-07,3.95061e-07
1.58024e-06,3.95061e-07
7.90122e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,1.38271e-05
3.95061e-07,0
7.90122e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
7.90122e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
